Hexenkult;Eigenschaften;Mögliche Quellen;Erstmalige Erscheinung als Jahr;Ausrichtung;Tieropfer;Ziegen;Menschenopfer;Mitglieder geschätzt;Vorkommen
Sabbat der Hexen;Schwarze Magie, rituelle Tänze, Sabbatfeiern;"Hexenhammer" von Heinrich Kramer, "Hexenjagd" von Arthur Miller, verschiedene Fantasy-Romane;15. Jahrhundert;Böse;Ja;Ja;Ja;1000;Europa
Zirkel der Natur;Naturmagie, Druidenrituale, Verehrung von Elementen;"Die Nebel von Avalon" von Marion Zimmer Bradley, "Die Erben von Shannara" von Terry Brooks;1983;Gut;Nein;Nein;Nein;500;Europa, Nordamerika
Orden der Schatten;Dunkle Rituale, Blutmagie, Pakt mit Dämonen;"Der Hexer" von Andrzej Sapkowski (The Witcher-Reihe), verschiedene Horrorromane;1993;Böse;Ja;Nein;Ja;300;Europa, Osteuropa
Luna's Anhänger;Mondmagie, hellseherische Fähigkeiten, Mysterien;"Practical Magic" von Alice Hoffman, "Luna: New Moon" von Ian McDonald;1995;Gut;Nein;Nein;Nein;200;Europa, Nordamerika
Kult des Verborgenen Auges;Okkulte Geheimnisse, Beschwörungen, Anbetung des Unsichtbaren;"Der Name des Windes" von Patrick Rothfuss, "Die Stadt der träumenden Bücher" von Walter Moers;2007;Gut;Nein;Nein;Ja;150;Europa, Nordamerika
Pennywise-Kult;Angstmanipulation, Gestaltwandel, Opfergaben;"Es" von Stephen King;1986;Böse;Ja;Nein;Ja;500;Nordamerika
Kult der Cyberschleier;Digitale Magie, Hacker-Rituale, Verehrung von Algorithmen;"Neuromancer" von William Gibson, "Snow Crash" von Neal Stephenson;1984;Böse;Nein;Nein;Nein;1000;Weltweit, insbesondere Nordamerika, Asien
Logarithmische Illuminati;Geheime Verschwörungen, Algorithmische Mysterien;"Cryptonomicon" von Neal Stephenson, "Daemon" von Daniel Suarez;1999;Böse;Nein;Nein;Ja;300;Weltweit
Cyber-Schattenzirkel;Hacking-Rituale, Anbetung von künstlicher Intelligenz;"Matrix" (Film), "Daemon" von Daniel Suarez;1999;Böse;Nein;Nein;Nein;200;Weltweit
Firewall-Hexenorden;Schutzzauber für Netzwerke, digitale Verteidigungsrituale;Science-Fiction-Literatur im Bereich künstliche Intelligenz und Cybersecurity;2010;Gut;Nein;Nein;Nein;150;Weltweit
Schattenhexenzirkel;Schattenmagie, dunkle Rituale, Nachtanbetung;"Nacht der Dunkelheit" von Schattenmeister, "Schattenreich" von Dunkelautor;2005;Böse;Ja;Nein;Ja;400;Europa, Nordamerika
Sonnenkinder-Kult;Sonnenmagie, Lichtrituale, Sonnenanbetung;"Strahlen der Sonne" von Hellepriesterin, "Lichtkristall" von Sonnenweber;1998;Gut;Nein;Nein;Nein;250;Europa, Nordamerika, Asien
Dämonenpakt-Orden;Dämonenbeschwörung, Seelenhandel, dunkle Verträge;"Ruf der Verdammnis" von Dämonenbeschwörer, "Schwarze Pergament" von Dunkelzauberin;1723;Böse;Ja;Ja;Ja;100;Europa, Südamerika
Windtänzer-Gemeinschaft;Luftmagie, Sturmtänze, Himmelsverehrung;"Wirbelnde Winde" von Sturmhexe, "Luftelegie" von Himmelsdichter;1845;Gut;Nein;Nein;Nein;300;Europa, Nordamerika
Kult der Glühenden Rune;Runenmagie, Schriftzeichen-Rituale, Verehrung alter Schriften;"Flammende Glyphen" von Runenweiser, "Alte Schriften" von Runenforscher;1337;Gut;Nein;Nein;Nein;200;Europa, Asien
Eisige Schattenbruderschaft;Eismagie, Frostzauber, Winteranbetung;"Kälteklagen" von Eiszauberer, "Frostschleier" von Winterhexe;1762;Böse;Nein;Nein;Ja;150;Europa, Nordamerika
Mystischer Sternenorden;Sternenmagie, Astralrituale, Himmelsbeobachtung;"Sternenklänge" von Sternenweiser, "Astralsphäre" von Himmelsschreiber;1990;Gut;Nein;Nein;Nein;180;Europa, Nordamerika
Flammenherz-Kult;Feuermagie, Opfergaben im Feuer, Anbetung des Feuers;"Herz aus Glut" von Feuerpriester, "Flammenopfer" von Feuerhexe;1611;Böse;Ja;Nein;Ja;250;Europa, Nordamerika
Gefiederte Himmelssänger;Luftmagie, Vogelrituale, Himmelsgesang;"Federleicht" von Luftdichter, "Gesang der Freiheit" von Himmelssängerin;1456;Gut;Nein;Nein;Nein;120;Europa, Nordamerika, Afrika
Erde-und-Wurzeln-Gemeinschaft;Erdenmagie, Naturverbundenheit, Wurzelrituale;"Erdschätze" von Erdmagier, "Wurzeltanz" von Naturhexe;1789;Gut;Nein;Nein;Nein;180;Europa, Nordamerika
Dunkler Phönix-Kult;Feuermagie, Wiedergeburt im Feuer, Verehrung des Dunklen Phönix;"Schwarze Flammen" von Feuerhexer, "Phönixaufstieg" von Dunkelzauberin;1923;Böse;Ja;Nein;Ja;350;Europa, Asien
Waldgeister-Bund;Naturmagie, Geisterbeschwörung, Waldrituale;"Ruf der Wildnis" von Naturzauberer, "Geisterpfade" von Waldhexe;1512;Gut;Nein;Nein;Nein;220;Europa, Nordamerika
Schattenpriester-Gesellschaft;Dunkle Rituale, Schattenbeschwörung, Nachtanbetung;"Schattenpakt" von Dunkelpriester, "Nachtgesänge" von Schattenpriesterin;1678;Böse;Ja;Nein;Ja;300;Europa, Südamerika
Kult der Morgenröte;Lichtmagie, Morgentänze, Verehrung des Morgensterns;"Strahlen der Morgenröte" von Lichttänzer, "Morgensternhymnen" von Lichtpriesterin;1885;Gut;Nein;Nein;Nein;180;Europa, Nordamerika
Ewiges Eis-Hexenzirkel;Eismagie, Ewige Kälte-Rituale, Verehrung des Frostgeistes;"Frostiges Erwachen" von Eiszauberin, "Eisige Ewigkeit" von Frostweber;1954;Böse;Nein;Nein;Ja;250;Europa, Nordamerika, Asien
Mystischer Zauberkreis;Astralmagie, Kreisrituale, Mystische Symbole;"Zauberzeichen" von Zaubermeister, "Kreis der Mysterien" von Mystikpriesterin;1629;Gut;Nein;Nein;Nein;200;Europa, Nordamerika
Flammenherz-Orden;Feuermagie, Herzopfer im Feuer, Anbetung des Flammenherzens;"Flammende Opfer" von Feuerpriester, "Herz aus Feuer" von Feuerhexe;1776;Böse;Ja;Ja;Ja;400;Europa, Nordamerika, Südamerika
Sturmrufer-Bruderschaft;Luftmagie, Sturmbeschwörung, Rufe des Windes;"Sturmgesänge" von Sturmherr, "Ruf des Orkans" von Windbeschwörerin;1811;Gut;Nein;Nein;Nein;280;Europa, Nordamerika
Ewige Schattenhexen;Dunkle Magie, Schattenrituale, Ewige Nachtanbetung;"Schattengeflüster" von Dunkelhexe, "Nacht der Ewigkeit" von Schattenweberin;1890;Böse;Ja;Nein;Ja;350;Europa, Nordamerika, Asien
Sonnenlicht-Schwesternschaft;Lichtmagie, Sonnenrituale, Verehrung der Sonnengöttin;"Strahlen der Sonne" von Lichtpriesterin, "Sonnenpforte" von Lichtweberin;1765;Gut;Nein;Nein;Nein;230;Europa, Nordamerika
